time,accx,accy,accz
1805,-392.00,-128.00,374.00
1810,28.00,476.00,-244.00
1815,-54.00,-80.00,82.00
1820,146.00,454.00,-44.00
1825,-356.00,-398.00,208.00
1830,30.00,418.00,52.00
1835,-214.00,76.00,336.00
1840,-248.00,20.00,-74.00
1845,-196.00,-16.00,520.00
1850,-316.00,84.00,-294.00
1855,-178.00,-302.00,162.00
1860,-238.00,226.00,-106.00
1865,-562.00,-468.00,-212.00
1870,-596.00,-180.00,-94.00
1875,-306.00,-14.00,436.00
1880,-240.00,-472.00,-24.00
1885,-446.00,-170.00,-136.00
1890,-330.00,220.00,-226.00
1895,-156.00,46.00,24.00
1900,-42.00,22.00,334.00
1905,6.00,150.00,372.00
1910,-58.00,16.00,-110.00
1915,-364.00,284.00,92.00
1920,-278.00,174.00,82.00
1925,-168.00,-72.00,36.00
1930,-376.00,-64.00,-28.00
1935,-242.00,174.00,-208.00
1940,-92.00,236.00,176.00
1945,78.00,228.00,392.00
1950,-80.00,80.00,762.00
1955,-56.00,266.00,74.00
1960,-248.00,390.00,-300.00
1965,-286.00,268.00,-290.00
1970,-136.00,44.00,488.00
1975,-436.00,370.00,142.00
1980,-254.00,386.00,138.00
1985,-152.00,330.00,2.00
1990,-134.00,518.00,86.00
1995,-222.00,622.00,106.00
2000,-328.00,646.00,-384.00
2005,-194.00,494.00,-518.00
2010,-512.00,564.00,-130.00
2015,-446.00,708.00,-42.00
2020,-266.00,622.00,-220.00
2025,-278.00,426.00,128.00
2030,-284.00,384.00,132.00
2035,-182.00,480.00,154.00
2040,-406.00,484.00,-118.00
2045,-522.00,360.00,32.00
2050,-386.00,420.00,116.00
2055,-408.00,428.00,-366.00
2060,-526.00,392.00,-38.00
2065,-488.00,472.00,292.00
2070,-606.00,330.00,-22.00
2075,-360.00,426.00,-252.00
2080,-568.00,380.00,-16.00
2085,-426.00,228.00,42.00
2090,-496.00,318.00,-78.00
2095,-472.00,272.00,-94.00
2100,-6.00,610.00,106.00
2105,-22.00,766.00,-182.00
2110,242.00,802.00,56.00
2115,-110.00,632.00,358.00
2120,-168.00,502.00,82.00
2125,-38.00,480.00,2.00
2130,-124.00,428.00,166.00
2135,-252.00,462.00,-160.00
2140,-144.00,198.00,114.00
2145,-112.00,220.00,124.00
2150,-204.00,258.00,18.00
2155,70.00,490.00,110.00
2160,-154.00,376.00,272.00
2165,-70.00,510.00,-132.00
2170,-280.00,270.00,-30.00
2175,-222.00,284.00,114.00
2180,-202.00,302.00,-90.00
2185,-172.00,328.00,56.00
2190,-312.00,216.00,-22.00
2195,-308.00,54.00,186.00
